tanggal,tweet,wisata_hiburan,pendidikan,fasilitas_layanan_publik,kuliner
2023-06-16,"kamis(11/5),Asmoro, Luhkan Kab Tegal Bapak Alimin  Bojong Kec. Bojong Kab.Tegal,panen  Lele selektif luas 6 m2  sebanyak 44 kg, harga 24000/kg
@PKBLU_bp3tegal
@puslatluhkp
@kkpgoid
#GiatLuhkanSatminkalTegal #KotaTegal #Panen https://t.co/5Vyk9ONmpF",-1,-1,-1,-1
2023-06-19,"Kalau ke Tegal mau ngopi atau makan disini juga enak lurr,aku gak di endorse yah,hanya info siapa tau sedulur juga pengen duduk santai di kota Tegal.#thesecretcafe
Ijin promo : @pijatjkt53 @Pijat_Jogja49 @pijatjakartanih @PijatBandung @pijatbandung55 @bdg_pijat @dimazbot https://t.co/HJm3aGYAKL",-1,-1,-1,1
2023-06-17,"Selasa(16/5),Asmoro, Luhkan Kab Tegal Bapak Sepul Aziz  Sokasari Kec. Bumijawa, panen lel 10 m2 sebanyak 381 kg, harga RP. 22.000/kg
@PKBLU_bp3tegal
@puslatluhkp
@kkpgoid
#GiatLuhkanSatminkalTegal #KotaTegal #Panen https://t.co/NYsT0YWFrZ",-1,-1,-1,-1
2023-06-15,"Hai #sobatJDIH,
Diinformasikan bahwa pada hari ini informasi/produk hukum berikut telah dapat didownload di web JDIH KPU:
Peraturan Komisi Pemilihan Umum Nomor 14 Tahun 2023 tentang Perlengkapan Pemungutan Suara, Dukungan Perlengkapan Lainnya, dan Perlengkapan Pemungutan Suara . https://t.co/HxjTh4fgjM",-1,-1,-1,-1
2023-06-20,"Hai #sobatJDIH
Senin (19/6) Komisioner dan segenap Pejabat Struktural Sekretariat KPU Kota Tegal mengadakan audiensi dengan Walikota Tegal terkait jaminan sosial ketenagakerjaan bagi penyelenggara pemilu. Hal ini penting dilakukan agar penyelenggara pemilu 2024 dapat menjalankan https://t.co/dcmcXzzm02",-1,-1,-1,-1
2023-06-20,"Halo #sobatJDIH
Senin(19/6), setelah melaksanakan apel pagi KPU Kota Tegal dalam hal ini Divisi Program dan Data mengadakan Rapat Koordinasi Persiapan Penetapan Daftar Pemilih Tetap Pemilu 2024 yang dilaksanakan di Aula KPU Kota Tegal. 
#KPUMelayani 
#pemiluserentak2024 https://t.co/huSTlZi6lb",-1,-1,-1,-1
2023-06-20,"MAHASISWA UBSI Kampus Kota Tegal LOLOS HIBAH PKM 2023

Prestasi kembali ditorehkan Mahasiswa Universitas Bina Sarana Informatika Kampus Kota Tegal pada Program Kreativitas Mahasiswa (PKM) - KC 2023

Judul: Website SIPUSAT (Sistem Informasi Penilaian Ujian Sekolah Anti-Cheating) https://t.co/AypJka7LQr",-1,1,-1,-1
2023-06-16,"Go Skateboarding day 2023
At Gor Wisanggeni Kota Tegal
18 Juni 2023

Monggoh yg mau dateng buat seru-seruan https://t.co/xYYDn731PG",1,-1,-1,1
2023-06-17,"@blacklist_era KOTA TEGAL, JAWA TENGAH🤍 https://t.co/2uaZEIKdOl",-1,-1,-1,-1
2023-06-17,"@caramelatez DOM KOTA TEGAL, JAWA TENGAH.
WISH: SEMOGA SEGERA ACC SKRIPSI DAN WISUDA TAHUN INI🙏 https://t.co/VnlDM9ZsDM",-1,-1,-1,-1
2023-06-19,"hi gaise, aku open po sandwich buah / sando nihh. yu boleh dilist🤏

📍untuk tegal kota gratis ongkir🥰 https://t.co/XnaQSfC23t",-1,-1,-1,1
2023-06-19,"@EdwinGusmanW https://t.co/mZJQmVaymt

Wajib jajal sayur asem + pecak ikan",-1,-1,-1,1
2023-06-18,"Info supplier spare part Vespa dong, insa allah mau bikin toko buat jual beli sparepart Vespa klasik di kota Tegal...",-1,-1,-1,1
2023-06-16,"Minggu (11/06), Fitri Astuti, Luhkan Kota Tegal,di Pokdakan Bahari Sejahtera Keturen, Kel.Keturen mendampingi Panen 
Sidat kolam terpal, sebanyak 53,250 kg, 
luas tambak 56,52 m2,bobot panen size 8-12/kg,harga 150.000/kg

#GiatLuhkanSatminkalBPPPTegal #kotategal #Panen https://t.co/VBGXYTAPG0",-1,-1,-1,-1
2023-06-16,"Selamat pagi purwokerto 🌹
Hai...hai... hari ini aku sudah kembali #Availpurwokerto &amp; sekitarnya ya say 😘
setelah cirebon lanjut kota tegal tgl 26-28
info RR by DM 🥰
0813-7416-2067
#expopurwokerto #bopurwokerto #bisyarpurwokerto #bispakpurwokerto #bocilacap #bocirebon #botegal https://t.co/KltJys2GeY",-1,-1,-1,-1
2023-06-18,"@Bby_nop @ultraaminee__ @tanyakanrl Untuk lebih memahami secara infografis mungkin dari peta pembagian administratif Provinsi Jawa Tengah yg bisa menggambarkan secara gamblang. Kota di Jateng hanya ada 6 : Tegal, Pekalongan, Semarang, Salatiga, Magelang, Surakarta. https://t.co/MePH4Aup1s",-1,-1,-1,-1
2023-06-19,Krenova merupakan kompetisi kreativitas dan inovasi yang bermanfaat bagi masyarakat. https://t.co/ArisZRYunw,-1,-1,-1,-1
